method,condition,MSE,RMSE,MAE,Precision_at_5,MRR
Univariate,N/A,276.6666626718698,16.633299813081884,9.124069263223728,,
Geographic,N/A,1290.423070113142,35.92245913231918,26.905757530724348,1.0,
Mean_Pooling,raw,867.3096319642679,29.45012108573185,22.308982799036887,0.6,6.0
Lagged_CKA,raw,1481.8909915268898,38.49533726994595,30.028057204701046,0.6,4.8
Soft_DTW_g0.1,raw,1898.1229696376522,43.567453100194555,32.448424773434766,0.6,6.2
Soft_DTW_g1.0,raw,1898.1229696376522,43.567453100194555,32.448424773434766,0.6,6.2
Soft_DTW_g10.0,raw,1898.1229696376522,43.567453100194555,32.448424773434766,0.6,6.4
Mean_Pooling,whitened,1827.8515625369603,42.753380714710275,32.95802274031489,0.4,6.4
Lagged_CKA,whitened,728.5653213520045,26.991949195121208,21.98802341422906,0.2,8.6
Soft_DTW_g0.1,whitened,1163.792819910953,34.114407805367996,25.264850817075608,0.8,4.2
Soft_DTW_g1.0,whitened,1163.792819910953,34.114407805367996,25.264850817075608,0.8,4.2
Soft_DTW_g10.0,whitened,1163.792819910953,34.114407805367996,25.264850817075608,0.8,4.2
