method,condition,layer,MSE,RMSE,MAE,MAPE,R2,Precision_at_5,MRR
Univariate,N/A,N/A,161.30107978664378,12.70043620458147,7.038203461986472,9.473039501493915,-22.014178192145028,,
Geographic,N/A,N/A,175.4214342278342,13.244675693569631,9.516049440641035,12.947162642747328,-22.168720312446723,1.0,
Mean_Pooling,raw,6,131.40730978267496,11.463302743218245,7.024766560518612,8.986690176700511,-12.746733957644883,0.6,0.37666666666666665
Lagged_CKA,raw,6,154.57548102813323,12.432838816140633,8.454262966596557,11.229209086311963,-17.155527386548478,0.6,0.4166666666666667
Soft_DTW_g1.0,raw,6,135.8992478849086,11.65758327806019,6.946429705148535,8.605938211970967,-11.950028409203979,0.6,0.38356643356643355
Mean_Pooling,whitened,6,155.25761149636665,12.460241229461277,8.802928650954273,11.567995079457125,-19.56435805166084,0.4,0.3356227106227106
Lagged_CKA,whitened,6,166.74409327322283,12.912942858745362,9.466747989757645,12.517464969982209,-23.93675638769372,0.0,0.1052258852258852
Soft_DTW_g1.0,whitened,6,145.04127326718984,12.043308235995202,7.53915400411993,9.772578556621118,-14.792414019941768,0.8,0.4333333333333333
Mean_Pooling,raw,8,131.407309782675,11.463302743218247,7.024766560518643,8.98669017670057,-12.746733957644901,0.6,0.3455555555555555
Lagged_CKA,raw,8,150.8770585811865,12.283202293424402,8.072646385257697,10.733314758811876,-18.949252121583854,0.8,0.4309523809523809
Soft_DTW_g1.0,raw,8,135.8992478849096,11.657583278060235,6.946429705148657,8.605938211971157,-11.950028409204455,0.6,0.4042735042735043
Mean_Pooling,whitened,8,159.68689516235102,12.63672802438792,8.403112620690559,10.813421178080599,-16.75825396810594,0.6,0.3506227106227106
Lagged_CKA,whitened,8,136.08704052361048,11.665635024447253,7.505064519105491,9.615232061326324,-13.862371971361272,0.6,0.365
Soft_DTW_g1.0,whitened,8,145.04127326718984,12.043308235995202,7.53915400411993,9.772578556621118,-14.792414019941768,0.8,0.432051282051282
Mean_Pooling,raw,10,131.4073097826747,11.463302743218234,7.024766560518619,8.986690176700536,-12.746733957644809,0.6,0.32666666666666666
Lagged_CKA,raw,10,402.09606170834695,20.052333073942965,16.281757549379687,23.15656601618759,-97.49470123802348,0.4,0.3202331002331002
Soft_DTW_g1.0,raw,10,321.80111737779595,17.938815941354544,14.823219587740889,20.822620996582817,-68.30492671483769,0.6,0.4153846153846154
Mean_Pooling,whitened,10,159.68689516235102,12.63672802438792,8.403112620690559,10.813421178080599,-16.75825396810594,0.6,0.35538461538461535
Lagged_CKA,whitened,10,146.00291716584528,12.083166686173177,8.23803218190538,10.936599901149933,-16.27956881026331,0.8,0.42205128205128206
Soft_DTW_g1.0,whitened,10,145.04127326718984,12.043308235995202,7.53915400411993,9.772578556621118,-14.792414019941768,0.8,0.432051282051282
