k,method,condition,layer,MSE,RMSE,MAE,MAPE,R2,Precision_at_K,MRR
5,Univariate,N/A,N/A,96.84288816717365,9.840878424570322,5.293206711142129,13.889285931657316,0.7802955399774869,,
5,Geographic,N/A,N/A,87.66289024797736,9.362846268522054,4.708866833456154,11.730164528330235,0.8011219168443477,0.2,0.09503309692671394
5,Mean_Pooling,raw,6,85.79544236532553,9.26258292083399,4.704613821163534,11.682124124856387,0.8053585379989125,0.2,0.08985055724417426
5,Lagged_CKA,raw,6,86.63789893623853,9.307948159301196,4.741852611796473,11.741865347690176,0.803447282877263,0.2,0.08720026840327592
5,Soft_DTW_g1.0,raw,6,86.27464448807359,9.288414530374578,4.657287564805759,11.619146457931222,0.8042713869895555,0.2,0.12973819830962688
5,Mean_Pooling,whitened,6,89.98759866087275,9.486179350026688,4.983626274123066,12.585847975765486,0.7958479228915517,0.0,0.04362708719851577
5,Lagged_CKA,whitened,6,96.9248930575289,9.845044086114033,5.281355892531854,12.86157139004992,0.7801094980233931,0.2,0.24615359477124182
5,Soft_DTW_g1.0,whitened,6,83.3719324814573,9.130823209407644,4.795160321271515,11.851618630110359,0.810856679787862,0.2,0.11666513155874858
5,Mean_Pooling,raw,8,85.26697683112997,9.234011957493339,4.753235494882579,11.919651168957879,0.8065574513835538,0.2,0.07001676032731932
5,Lagged_CKA,raw,8,89.24126243638099,9.44675936162137,4.692917015317841,11.980234163375634,0.7975411127612523,0.2,0.09664910813823857
5,Soft_DTW_g1.0,raw,8,86.27464448807359,9.288414530374578,4.657287564805759,11.619146457931222,0.8042713869895555,0.2,0.12866286537382882
5,Mean_Pooling,whitened,8,88.05824316034949,9.38393537703396,4.768084074172484,11.857638089454287,0.800224991940775,0.2,0.08550153081208982
5,Lagged_CKA,whitened,8,96.62519660312617,9.829811626024487,5.640919250842419,13.548576495039951,0.7807894100843753,0.2,0.1259913732518097
5,Soft_DTW_g1.0,whitened,8,83.3719324814573,9.130823209407644,4.795160321271515,11.851618630110359,0.810856679787862,0.2,0.11705182072829132
5,Mean_Pooling,raw,10,86.2717667407755,9.288259618506338,4.781755817960487,11.853076870494922,0.804277915645693,0.2,0.09040978093365006
5,Lagged_CKA,raw,10,78.96613757771489,8.886289303062043,4.65090821484445,11.569554561775854,0.820851970186737,0.2,0.112987012987013
5,Soft_DTW_g1.0,raw,10,85.3202225452302,9.236894637551638,4.688786375772438,11.531558987153142,0.8064366544816202,0.2,0.12866286537382882
5,Mean_Pooling,whitened,10,93.4281639268504,9.665824534246957,5.096705352266331,12.473811648017367,0.7880424190673684,0.0,0.03693085930024183
5,Lagged_CKA,whitened,10,101.86377834797085,10.092758708498428,5.923364846278863,14.334937684364965,0.7689048019802872,0.2,0.13417888563049854
5,Soft_DTW_g1.0,whitened,10,88.32038027579239,9.397892331570542,4.8602822856971155,11.817243452284016,0.7996302895884368,0.2,0.09956349206349205
5,Lasso,N/A,N/A,86.00616587495962,9.273950931235275,4.435656931532424,11.158511638258396,0.8048804761011893,0.2,0.22730846930846932
